Time (s),Volume (m^3),NH2_X(8),NH_X(9),NHO_X(10),H2O_X(11),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(13)
4.391696410581229e-20,0.04813658495077032,7.032753980158382e-16,2.039539827128063e-28,2.9173143639324204e-54,2.98170758711036e-58,0.054,2.3517665447584286e-67,6.703813124778387e-15,6.739541168645202e-39,4.2850369264404806e-35,1.1681843907776834e-14,0.0,0.0,0.028485864002659428,0.8799999999999967,2.6540138549090516e-54,2.8139345240947824e-85,9.869216060549662e-87,0.06599999999998762,1.4812602801967742e-122,7.03275398016246e-16
8.783392879332571e-20,0.04813658495077032,1.4065508053522704e-15,8.158161051780998e-28,4.6677033872471035e-53,9.541464405049859e-57,0.054,7.525653596731196e-66,1.3407626338339522e-14,5.391634022709141e-38,3.4280295648712584e-34,2.3363687969594555e-14,0.0,0.0,0.028485864002639635,0.8799999999999933,8.492844458145435e-53,4.502296423052009e-84,6.316298825688661e-85,0.06599999999997525,7.584054327714949e-120,1.4065508053539017e-15
1.7566785816835253e-19,0.04813658495077032,2.8131016200412618e-15,3.2632657667006015e-27,7.468326516724923e-52,3.05326859109701e-55,0.054,2.4082095029712323e-64,2.6815252765424428e-14,4.313308883650447e-37,2.7424236262789674e-33,4.6727376091157894e-14,0.0,0.0,0.028485864002600052,0.8799999999999867,2.7177102119726794e-51,7.203679112346581e-83,4.0424318355605925e-83,0.06599999999995047,3.8830373168616244e-117,2.813101620047788e-15
3.513357169184062e-19,0.04813658495077032,5.6262032494837544e-15,1.3053073737456262e-26,1.1949325778580086e-50,9.770459210956581e-54,0.054,7.706272556449662e-63,5.3630505619444776e-14,3.45064974169961e-36,2.1939388346070178e-32,9.345475232599614e-14,0.0,0.0,0.028485864002520882,0.8799999999999732,8.696672435939784e-50,7.20406040399342e-83,2.5871570901225657e-81,0.06599999999990093,4.915456093870692e-114,5.626203249509861e-15
7.026714344185135e-19,0.04813658495077032,1.125240650862678e-14,5.221238012055014e-26,1.9118931844369117e-49,3.1265467447363077e-52,0.054,2.4660085751530237e-61,1.072610113268876e-13,2.7605239970085934e-35,1.7551509512488573e-31,1.8690950476251893e-13,0.0,0.0,0.028485864002362544,0.8799999999999464,2.782935000553268e-48,7.252865873608808e-83,1.6557814417771197e-79,0.06599999999980184,2.5196460743173682e-111,1.1252406508731204e-14
1.4053428694187282e-18,0.04813658495077032,2.2504813027945e-14,2.0885020145898936e-25,3.0590324764793254e-48,1.0004948243342989e-50,0.054,7.891236098709276e-60,2.145220227393819e-13,2.208425918646024e-34,1.404120570631945e-30,3.738190095029498e-13,0.0,0.0,0.02848586400204587,0.8799999999998928,8.905390818414654e-47,1.3500004448141845e-82,1.0597012762789212e-77,0.06599999999960368,1.2900670537557465e-108,2.25048130283627e-14
2.1080143044189427e-18,0.04813658495077032,3.375721954829538e-14,4.438078271330059e-25,1.1662569023909284e-47,4.786546776039048e-50,0.054,3.7035845429780744e-59,3.217830341494849e-13,6.314730277711083e-34,4.168482632912216e-30,5.607285141107659e-13,0.0,0.0,0.028485864001729196,0.8799999999998391,4.2604987736975835e-46,4.1533307655259576e-79,5.9554741984005336e-77,0.06599999999940552,7.365137106779371e-108,3.3757219549183e-14
2.8106857394191574e-18,0.04813658495077032,4.500962606967794e-14,7.570858529052495e-25,3.1379034359774575e-47,1.584181780006731e-49,0.054,1.1547154307680217e-58,4.290440455571965e-13,1.3319620114882833e-33,9.082903649552335e-30,7.476380185859674e-13,0.0,0.0,0.028485864001412523,0.8799999999997855,1.4100780478908703e-45,9.70030813692772e-79,2.121967155382989e-76,0.06599999999920736,6.123856475626423e-107,4.50096260711921e-14
4.216028609419587e-18,0.04813658495077032,6.751443911486547e-14,1.567457422824768e-24,1.269182563270624e-46,9.243193549424291e-49,0.054,5.692774607307578e-58,6.435660683670073e-13,3.638013770589845e-33,2.636486443004151e-29,1.1214570272251314e-12,0.0,0.0,0.02848586400077917,0.8799999999996783,8.227354015125118e-45,1.3400679666165404e-78,1.2587302429106793e-75,0.06599999999881104,1.9351038692157688e-105,6.751443911800036e-14
5.6213714794200165e-18,0.04813658495077032,9.001925216384859e-14,2.6658469569443502e-24,3.4378737852044728e-46,3.075322040713949e-48,0.054,1.7864754915345446e-57,8.580880911680243e-13,7.611966025734139e-33,5.765697927889644e-29,1.4952760353766241e-12,0.0,0.0,0.02848586400014582,0.879999999999571,2.7373399700627753e-44,2.312934725707499e-78,4.47794665810555e-75,0.06599999999841472,1.1663164504725838e-104,9.001925216918025e-14
